time_s,time_h,reference_C,outside_temperature_C,temperature_C,sensor_temperature_C,measured_temperature_C,filtered_temperature_C,error_C,P_feedforward_W,P_proportional_W,P_integral_W,P_requested_W,P_command_W,power_effective_W
46560.0,12.933333333333334,22.0,0.0,22.266149945257496,22.192357015925744,22.200000000000003,22.138171706303535,-0.1381717063035346,2500.0,-62.177267836590566,114.91839118504275,5552.741123348452,5552.741123348452,5595.900638811462
46620.0,12.95,22.0,0.0,22.26650230308746,21.824319863085105,21.8,22.025447804202358,-0.025447804202357815,2500.0,-11.451511891061017,114.88403664936955,5603.432524758308,5603.432524758308,5593.826093148318
46680.0,12.966666666666667,22.0,0.0,22.26682870929598,22.213239556582305,22.200000000000003,22.083631869468242,-0.08363186946824186,2500.0,-37.63434126070884,114.77113362558742,5577.136792364879,5577.136792364879,5591.876220071534
46740.0,12.983333333333333,22.0,0.0,22.267130737808948,21.836860683769753,21.8,21.989087912978828,0.010912087021171857,2500.0,4.910439159527336,114.785864943066,5619.696304102594,5619.696304102594,5590.7689094295665
46800.0,13.0,22.0,0.0,22.267418572508674,22.213650652221215,22.200000000000003,22.059391941985886,-0.059391941985886376,2500.0,-26.72637389364887,114.70568582138505,5587.9793119277365,5587.9793119277365,5589.718596998435
46860.0,13.016666666666667,22.0,0.0,22.26769293995513,22.564595192057265,22.6,22.23959462799059,-0.2395946279905914,2500.0,-107.81758259576613,114.38223307359776,5506.5646504778315,5506.5646504778315,5589.211485130135
46920.0,13.033333333333333,22.0,0.0,22.267960398956827,22.20782135380367,22.200000000000003,22.226396418660396,-0.2263964186603964,2500.0,-101.87838839717838,114.07659790840621,5512.198209511228,5512.198209511228,5588.311038696737
46980.0,13.05,22.0,0.0,22.268216250224317,22.415263966597305,22.400000000000002,22.28426427910693,-0.28426427910693164,2500.0,-127.91892559811924,113.69284113161186,5485.773915533493,5485.773915533493,5586.653992084184
47040.0,13.066666666666666,22.0,0.0,22.268451449378652,22.13303610042696,22.1,22.222842852737955,-0.2228428527379549,2500.0,-100.2792837320797,113.39200328041564,5513.112719548336,5513.112719548336,5585.007907835365
47100.0,13.083333333333334,22.0,0.0,22.26866618992454,22.082969582103257,22.1,22.18189523515864,-0.18189523515863826,2500.0,-81.85285582138721,113.14644471295148,5531.293588891564,5531.293588891564,5583.877404937487
47160.0,13.1,22.0,0.0,22.268866720214017,21.96185104540761,22.0,22.12126349010576,-0.1212634901057612,2500.0,-54.56857054759254,112.9827390013087,5558.414168453716,5558.414168453716,5582.839674830215
47220.0,13.116666666666667,22.0,0.0,22.269054196151338,22.469515888722054,22.5,22.24750899340384,-0.2475089934038408,2500.0,-111.37904703172836,112.64860186021352,5501.2695548284855,5501.2695548284855,5581.61627760849
47280.0,13.133333333333333,22.0,0.0,22.269226428894186,22.24983048277798,22.200000000000003,22.23167266226923,-0.23167266226922933,2500.0,-104.25269802115321,112.33584376615008,5508.083145744997,5508.083145744997,5581.027961929635
47340.0,13.15,22.0,0.0,22.26939108515066,22.58585473870644,22.6,22.354448441512822,-0.3544484415128224,2500.0,-159.5017986807701,111.85733837010775,5452.355539689338,5452.355539689338,5580.106995904877
47400.0,13.166666666666666,22.0,0.0,22.269544195846066,22.025580493805705,22.0,22.23629896100855,-0.23629896100855063,2500.0,-106.33453245384779,111.53833477274623,5505.203802318899,5505.203802318899,5578.97082557572
47460.0,13.183333333333334,22.0,0.0,22.269683213165436,22.21666473298494,22.200000000000003,22.224199307339035,-0.2241993073390347,2500.0,-100.88968830256562,111.23566570783852,5510.3459774052735,5510.3459774052735,5578.199138926618
47520.0,13.2,22.0,0.0,22.26981255319306,22.27704991080399,22.3,22.24946620489269,-0.24946620489269122,2500.0,-112.25979220171105,110.89888633123338,5498.639094129522,5498.639094129522,5577.4191787269365
47580.0,13.216666666666667,22.0,0.0,22.269932145678204,22.543566485398483,22.5,22.332977469928462,-0.332977469928462,2500.0,-149.8398614678079,110.44936674682995,5460.6095052790215,5460.6095052790215,5576.385877867429
47640.0,13.233333333333333,22.0,0.0,22.270038979775578,22.625425910027662,22.6,22.42198497995231,-0.42198497995230966,2500.0,-189.89324097853935,109.87968702389433,5419.986446045355,5419.986446045355,5575.6914886912555
47700.0,13.25,22.0,0.0,22.270137160700546,22.131218489190562,22.1,22.31465665330154,-0.31465665330154025,2500.0,-141.5954939856931,109.45490054193725,5467.859406556245,5467.859406556245,5575.222382669579
47760.0,13.266666666666667,22.0,0.0,22.27022941781048,22.034172635440562,22.0,22.209771102201024,-0.20977110220102446,2500.0,-94.39699599046101,109.17170955396585,5514.774713563505,5514.774713563505,5574.150568415972
47820.0,13.283333333333333,22.0,0.0,22.27030853637804,21.913539440738955,21.900000000000002,22.106514068134018,-0.1065140681340182,2500.0,-47.93133066030819,109.02791556198493,5561.096584901677,5561.096584901677,5572.937349956174
47880.0,13.3,22.0,0.0,22.27037285896838,22.52811749271328,22.5,22.237676045422678,-0.23767604542267762,2500.0,-106.95422044020492,108.70705290066431,5501.752832460459,5501.752832460459,5570.883673285984
47940.0,13.316666666666666,22.0,0.0,22.270412344470905,22.243213498293542,22.200000000000003,22.22511736361512,-0.22511736361511936,2500.0,-101.30281362680371,108.4031444597839,5507.10033083298,5507.10033083298,5569.539688881592
48000.0,13.333333333333334,22.0,0.0,22.27043558370407,22.13094020090333,22.1,22.183411575743413,-0.18341157574341338,2500.0,-82.53520908453602,108.1555388325303,5525.620329747994,5525.620329747994,5569.169163764805
48060.0,13.35,22.0,0.0,22.270454306918136,22.250166305590998,22.3,22.222274383828942,-0.2222743838289425,2500.0,-100.02347272302413,107.85546841436123,5507.8319956913365,5507.8319956913365,5568.185853764984
48120.0,13.366666666666667,22.0,0.0,22.270461174242563,21.74867947972072,21.700000000000003,22.04818292255263,-0.04818292255263046,2500.0,-21.682315148683706,107.79042146891517,5586.108106320232,5586.108106320232,5566.552542064063
48180.0,13.383333333333333,22.0,0.0,22.270448421224604,21.91512181608777,21.900000000000002,21.99878861503509,0.001211384964911133,2500.0,0.5451232342100099,107.79205683861781,5608.337180072828,5608.337180072828,5565.501442090759
48240.0,13.4,22.0,0.0,22.270423093266018,22.44718355064056,22.400000000000002,22.132525743356727,-0.13252574335672662,2500.0,-59.63658451052698,107.61314708508623,5547.976562574559,5547.976562574559,5565.0878536943
